mapping_id,step_id,mapping_group_id,source_entity_id,source_column_name,target_entity_id,target_column_name,rule_id,expression,confidence
M039,S003,G037,E005,STATUS_CLIENTE,E006,OUT-MSG,R019,IF HV-STATUS-CLIENTE = 'A' THEN ACTIVE ELSE INACTIVE,high
M040,S003,G038,E004,IN2-CHAVE,E006,OUT-CHAVE,R028,MOVE IN2-CHAVE TO WS-CHAVE-PESQUISA / DB2 lookup key,high
M041,S003,G039,E004,IN2-DOCUMENTO,E006,OUT-DOCUMENTO,R020,MOVE IN2-DOCUMENTO TO OUT-DOCUMENTO,high
M042,S003,G040,E004,IN2-QUANTIDADE,E006,OUT-QTDE,R021,MOVE IN2-QUANTIDADE TO OUT-QTDE,high
M043,S003,G041,E005,CANAL_PREFERENC,E006,OUT-CANAL-SAIDA,R023,HV-CANAL-PREFERENC -> OUT-CANAL-SAIDA,high
M044,S003,G042,E004,IN2-VALOR-UNIT,E006,OUT-VALOR-CALC,R024,IN2-VALOR-UNIT * HV-FATOR-DB2,high
M045,S003,G042,E005,FATOR_DB2,E006,OUT-VALOR-CALC,R024,IN2-VALOR-UNIT * HV-FATOR-DB2,high
M046,S003,G043,E004,IN2-QUANTIDADE,E006,OUT-TOTAL-GERAL,R025,IN2-QUANTIDADE * HV-PRECO-UNITARIO,high
M047,S003,G043,E005,PRECO_UNITARIO,E006,OUT-TOTAL-GERAL,R025,IN2-QUANTIDADE * HV-PRECO-UNITARIO,high
M048,S003,G044,E004,IN2-INDICADOR,E006,OUT-TIPO-SAIDA,R026,IF IN2-INDICADOR = 'S' THEN B1 ELSE B2,high
M049,S003,G045,E004,IN2-INDICADOR,E006,OUT-OCORRENCIA,R027,IF IN2-INDICADOR = 'S' THEN 000 ELSE 020,high
M050,S003,G046,E005,NOME_CLIENTE,E006,OUT-NOME,R009,HV-NOME-CLIENTE -> OUT-NOME in INPUT2 branch,high
M051,S003,G047,E005,STATUS_CLIENTE,E006,OUT-STATUS,R010,HV-STATUS-CLIENTE -> OUT-STATUS in INPUT2 branch,high
M052,S003,G048,E005,CODIGO_DB2,E006,OUT-CODIGO-DB2,R011,HV-CODIGO-DB2 -> OUT-CODIGO-DB2 in INPUT2 branch,high
M053,S003,G049,E005,DATA_CADASTRO,E006,OUT-DATA-CAD,R012,HV-DATA-CADASTRO -> OUT-DATA-CAD in INPUT2 branch,high
M054,S003,G050,E005,VALOR_BASE,E006,OUT-VALOR-BASE,R013,HV-VALOR-BASE -> OUT-VALOR-BASE in INPUT2 branch,high
M055,S003,G051,E005,PRECO_UNITARIO,E006,OUT-PRECO-DB2,R014,HV-PRECO-UNITARIO -> OUT-PRECO-DB2 in INPUT2 branch,high
M056,S004,G052,E006,OUT-ORIGEM,E007,OUT-ORIGEM,R029,OUT-ORIGEM -> OUT-ORIGEM,high
M057,S004,G053,E006,OUT-CHAVE,E007,OUT-CHAVE,R029,OUT-CHAVE -> OUT-CHAVE,high
M058,S004,G054,E006,OUT-NOME,E007,OUT-NOME,R029,OUT-NOME -> OUT-NOME,high
M059,S004,G055,E006,OUT-STATUS,E007,OUT-STATUS,R029,OUT-STATUS -> OUT-STATUS,high
M060,S004,G056,E006,OUT-CODIGO-DB2,E007,OUT-CODIGO-DB2,R029,OUT-CODIGO-DB2 -> OUT-CODIGO-DB2,high
M061,S004,G057,E006,OUT-DATA-CAD,E007,OUT-DATA-CAD,R029,OUT-DATA-CAD -> OUT-DATA-CAD,high
M062,S004,G058,E006,OUT-TIPO-SAIDA,E007,OUT-TIPO-SAIDA,R029,OUT-TIPO-SAIDA -> OUT-TIPO-SAIDA,high
M063,S004,G059,E006,OUT-CANAL-SAIDA,E007,OUT-CANAL-SAIDA,R029,OUT-CANAL-SAIDA -> OUT-CANAL-SAIDA,high
M064,S004,G060,E006,OUT-OCORRENCIA,E007,OUT-OCORRENCIA,R029,OUT-OCORRENCIA -> OUT-OCORRENCIA,high
M065,S004,G061,E006,OUT-AGENCIA,E007,OUT-AGENCIA,R029,OUT-AGENCIA -> OUT-AGENCIA,high
M066,S004,G062,E006,OUT-CONTA,E007,OUT-CONTA,R029,OUT-CONTA -> OUT-CONTA,high
M067,S004,G063,E006,OUT-DOCUMENTO,E007,OUT-DOCUMENTO,R029,OUT-DOCUMENTO -> OUT-DOCUMENTO,high
M068,S004,G064,E006,OUT-QTDE,E007,OUT-QTDE,R029,OUT-QTDE -> OUT-QTDE,high
M069,S004,G065,E006,OUT-FATOR,E007,OUT-FATOR,R029,OUT-FATOR -> OUT-FATOR,high
M070,S004,G066,E006,OUT-VALOR-BASE,E007,OUT-VALOR-BASE,R029,OUT-VALOR-BASE -> OUT-VALOR-BASE,high
M071,S004,G067,E006,OUT-PRECO-DB2,E007,OUT-PRECO-DB2,R029,OUT-PRECO-DB2 -> OUT-PRECO-DB2,high
M072,S004,G068,E006,OUT-VALOR-CALC,E007,OUT-VALOR-CALC,R029,OUT-VALOR-CALC -> OUT-VALOR-CALC,high
M073,S004,G069,E006,OUT-TOTAL-GERAL,E007,OUT-TOTAL-GERAL,R029,OUT-TOTAL-GERAL -> OUT-TOTAL-GERAL,high
M074,S004,G070,E006,OUT-HARD1,E007,OUT-HARD1,R029,OUT-HARD1 -> OUT-HARD1,high
M075,S004,G071,E006,OUT-HARD2,E007,OUT-HARD2,R029,OUT-HARD2 -> OUT-HARD2,high
M076,S004,G072,E006,OUT-HARD3,E007,OUT-HARD3,R029,OUT-HARD3 -> OUT-HARD3,high
M077,S004,G073,E006,OUT-MSG,E007,OUT-MSG,R029,OUT-MSG -> OUT-MSG,high
M078,S004,G074,E006,OUT-FILLER,E007,OUT-FILLER,R029,OUT-FILLER -> OUT-FILLER,high
