mapping_id,step_id,mapping_group_id,source_entity_id,source_column_name,target_entity_id,target_column_name,rule_id,expression,confidence
M039,S003,G037,E005,STATUS_CLIENTE,E006,OUT-MSG,R019,IF HV-STATUS-CLIENTE = 'A' THEN ACTIVE ELSE INACTIVE,high
M040,S003,G038,E004,IN2-CHAVE,E006,OUT-CHAVE,R028,MOVE IN2-CHAVE TO WS-CHAVE-PESQUISA / DB2 lookup key,high
M041,S003,G039,E004,IN2-DOCUMENTO,E006,OUT-DOCUMENTO,R020,MOVE IN2-DOCUMENTO TO OUT-DOCUMENTO,high
M042,S003,G040,E004,IN2-QUANTIDADE,E006,OUT-QTDE,R021,MOVE IN2-QUANTIDADE TO OUT-QTDE,high
M043,S003,G041,E005,CANAL_PREFERENC,E006,OUT-CANAL-SAIDA,R023,HV-CANAL-PREFERENC -> OUT-CANAL-SAIDA,high
M044,S003,G042,E004,IN2-VALOR-UNIT,E006,OUT-VALOR-CALC,R024,IN2-VALOR-UNIT * HV-FATOR-DB2,high
M045,S003,G042,E005,FATOR_DB2,E006,OUT-VALOR-CALC,R024,IN2-VALOR-UNIT * HV-FATOR-DB2,high
M046,S003,G043,E004,IN2-QUANTIDADE,E006,OUT-TOTAL-GERAL,R025,IN2-QUANTIDADE * HV-PRECO-UNITARIO,high
M047,S003,G043,E005,PRECO_UNITARIO,E006,OUT-TOTAL-GERAL,R025,IN2-QUANTIDADE * HV-PRECO-UNITARIO,high
M048,S003,G044,E004,IN2-INDICADOR,E006,OUT-TIPO-SAIDA,R026,IF IN2-INDICADOR = 'S' THEN B1 ELSE B2,high
M049,S003,G045,E004,IN2-INDICADOR,E006,OUT-OCORRENCIA,R027,IF IN2-INDICADOR = 'S' THEN 000 ELSE 020,high
M050,S003,G046,E005,NOME_CLIENTE,E006,OUT-NOME,R009,HV-NOME-CLIENTE -> OUT-NOME in INPUT2 branch,high
M051,S003,G047,E005,STATUS_CLIENTE,E006,OUT-STATUS,R010,HV-STATUS-CLIENTE -> OUT-STATUS in INPUT2 branch,high
M052,S003,G048,E005,CODIGO_DB2,E006,OUT-CODIGO-DB2,R011,HV-CODIGO-DB2 -> OUT-CODIGO-DB2 in INPUT2 branch,high
M053,S003,G049,E005,DATA_CADASTRO,E006,OUT-DATA-CAD,R012,HV-DATA-CADASTRO -> OUT-DATA-CAD in INPUT2 branch,high
M054,S003,G050,E005,VALOR_BASE,E006,OUT-VALOR-BASE,R013,HV-VALOR-BASE -> OUT-VALOR-BASE in INPUT2 branch,high
M055,S003,G051,E005,PRECO_UNITARIO,E006,OUT-PRECO-DB2,R014,HV-PRECO-UNITARIO -> OUT-PRECO-DB2 in INPUT2 branch,high
M056,S004,G052,E006,OUT-ORIGEM,E007,OUT-ORIGEM,R029,OUT-ORIGEM -> OUT-ORIGEM,high
M057,S004,G053,E006,OUT-CHAVE,E007,OUT-CHAVE,R029,OUT-CHAVE -> OUT-CHAVE,high
M058,S004,G054,E006,OUT-NOME,E007,OUT-NOME,R029,OUT-NOME -> OUT-NOME,high
M059,S004,G055,E006,OUT-STATUS,E007,OUT-STATUS,R029,OUT-STATUS -> OUT-STATUS,high
M060,S004,G056,E006,OUT-CODIGO-DB2,E007,OUT-CODIGO-DB2,R029,OUT-CODIGO-DB2 -> OUT-CODIGO-DB2,high
M061,S004,G057,E006,OUT-DATA-CAD,E007,OUT-DATA-CAD,R029,OUT-DATA-CAD -> OUT-DATA-CAD,high
M062,S004,G058,E006,OUT-TIPO-SAIDA,E007,OUT-TIPO-SAIDA,R029,OUT-TIPO-SAIDA -> OUT-TIPO-SAIDA,high
M063,S004,G059,E006,OUT-CANAL-SAIDA,E007,OUT-CANAL-SAIDA,R029,OUT-CANAL-SAIDA -> OUT-CANAL-SAIDA,high
M064,S004,G060,E006,OUT-OCORRENCIA,E007,OUT-OCORRENCIA,R029,OUT-OCORRENCIA -> OUT-OCORRENCIA,high
M065,S004,G061,E006,OUT-AGENCIA,E007,OUT-AGENCIA,R029,OUT-AGENCIA -> OUT-AGENCIA,high
M066,S004,G062,E006,OUT-CONTA,E007,OUT-CONTA,R029,OUT-CONTA -> OUT-CONTA,high
M067,S004,G063,E006,OUT-DOCUMENTO,E007,OUT-DOCUMENTO,R029,OUT-DOCUMENTO -> OUT-DOCUMENTO,high
M068,S004,G064,E006,OUT-QTDE,E007,OUT-QTDE,R029,OUT-QTDE -> OUT-QTDE,high
M069,S004,G065,E006,OUT-FATOR,E007,OUT-FATOR,R029,OUT-FATOR -> OUT-FATOR,high
M070,S004,G066,E006,OUT-VALOR-BASE,E007,OUT-VALOR-BASE,R029,OUT-VALOR-BASE -> OUT-VALOR-BASE,high
M071,S004,G067,E006,OUT-PRECO-DB2,E007,OUT-PRECO-DB2,R029,OUT-PRECO-DB2 -> OUT-PRECO-DB2,high
M072,S004,G068,E006,OUT-VALOR-CALC,E007,OUT-VALOR-CALC,R029,OUT-VALOR-CALC -> OUT-VALOR-CALC,high
M073,S004,G069,E006,OUT-TOTAL-GERAL,E007,OUT-TOTAL-GERAL,R029,OUT-TOTAL-GERAL -> OUT-TOTAL-GERAL,high
M074,S004,G070,E006,OUT-HARD1,E007,OUT-HARD1,R029,OUT-HARD1 -> OUT-HARD1,high
M075,S004,G071,E006,OUT-HARD2,E007,OUT-HARD2,R029,OUT-HARD2 -> OUT-HARD2,high
M076,S004,G072,E006,OUT-HARD3,E007,OUT-HARD3,R029,OUT-HARD3 -> OUT-HARD3,high
M077,S004,G073,E006,OUT-MSG,E007,OUT-MSG,R029,OUT-MSG -> OUT-MSG,high
M078,S004,G074,E006,OUT-FILLER,E007,OUT-FILLER,R029,OUT-FILLER -> OUT-FILLER,high
M079,S001,G075,E001,DEMO-ID,E002,DEMO-ID,R030,DEMO-ID -> DEMO-ID,high
M080,S002,G076,E003,DEMO-ORD,E004,DEMO-ORD,R031,DEMO-ORD -> DEMO-ORD,high
M081,S003,G077,E002,DEMO-ID,E006,DEMO-ID,R032,MOVE DEMO-ID TO DEMO-ID,high
M082,S003,G078,E004,DEMO-ORD,E006,DEMO-ORD,R033,MOVE DEMO-ORD TO DEMO-ORD,high
M083,S003,G079,E002,IN1-COD-OPER,E006,DEMO-ENR,R034,MOVE IN1-COD-OPER TO DEMO-ENR,high
M084,S003,G080,E005,DEMO-LKP,E006,DEMO-LKP,R035,HV-DEMO-LKP -> DEMO-LKP,high
M085,S003,G081,E004,DEMO-KEY,E006,DEMO-KEY,R036,DEMO-KEY -> WS-DEMO-KEY,high
M086,S003,G082,E002,IN1-QTDE,E006,DEMO-CALC,R037,IN1-QTDE * HV-VALOR-BASE,high
M087,S003,G082,E005,VALOR_BASE,E006,DEMO-CALC,R037,IN1-QTDE * HV-VALOR-BASE,high
M088,S003,G083,E002,IN1-COD-OPER,E006,DEMO-DER,R038,IF IN1-COD-OPER = 'DB2' THEN IN2-SEGMENTO ELSE IN1-COD-OPER,high
M089,S003,G083,E004,IN2-SEGMENTO,E006,DEMO-DER,R038,IF IN1-COD-OPER = 'DB2' THEN IN2-SEGMENTO ELSE IN1-COD-OPER,high
M090,S003,G084,E002,IN1-TIPO-REG,E006,DEMO-COND,R039,IF IN1-TIPO-REG = 'A' THEN 'ON' ELSE 'OFF',high
M091,S003,G085,E002,IN1-DATA-MOV,E006,DEMO-RAW,R041,EDIT IN1-DATA-MOV INTO DEMO-RAW,high
M092,S004,G086,E006,DEMO-ID,E007,DEMO-ID,R042,DEMO-ID -> DEMO-ID,high
M093,S004,G087,E006,DEMO-ORD,E007,DEMO-ORD,R043,DEMO-ORD -> DEMO-ORD,high
M094,S004,G088,E006,DEMO-ENR,E007,DEMO-ENR,R044,DEMO-ENR -> DEMO-ENR + JCLTAG,high
M095,S004,G089,E006,DEMO-LKP,E007,DEMO-LKP,R045,DEMO-LKP -> DEMO-LKP,high
M096,S004,G090,E006,DEMO-KEY,E007,DEMO-KEY,R046,DEMO-KEY -> DEMO-KEY,high
M097,S004,G091,E006,DEMO-CALC,E007,DEMO-CALC,R047,DEMO-CALC -> DEMO-CALC,high
M098,S004,G092,E006,DEMO-DER,E007,DEMO-DER,R048,DEMO-DER -> DEMO-DER,high
M099,S004,G093,E006,DEMO-COND,E007,DEMO-COND,R049,DEMO-COND -> DEMO-COND,high
M100,S004,G094,E006,DEMO-FIXO,E007,DEMO-FIXO,R050,DEMO-FIXO -> DEMO-FIXO,high
M101,S004,G095,E006,DEMO-RAW,E007,DEMO-RAW,R051,DEMO-RAW -> DEMO-RAW,high
M102,S004,G096,E006,DEMO-NULL2,E007,DEMO-NULL2,R052,DEMO-NULL2 -> DEMO-NULL2,high
M103,S004,G097,E006,DEMO-FILL,E007,DEMO-FILL,R053,DEMO-FILL -> DEMO-FILL,high
